N_SOLICITUD_EXP	F_ESTUDIO_EXP	SUBPRODUCTO_EXP	No Tarjetas	Cupos	Ingresos	EDAD_EXP	TIPO_VIVIENDA_VIVE_EXP	N_HIJOS_EXP	VIVIENDA_NUEVA_EXP	CANAL_EXP	GENERO_ACT_	ESTADO_CIVIL_ACT_	TIPO_VIVIENDA_ACT_	NIVEL_ACADEM_ACT_	OCUPACION_ACT_	AnosAntiguedadEmpl	AnosRelacionBanco	MORAMAX 18 meses	Mora Inicial	MORA_ACTUAL	Rodo
1	201310	TarjetaMundo	1	13,7	5	48				Almacen	FEMENINO	UNION LIBRE		NO INFORMA	EMPLEADO		18,59444444	83	43	50	0
2	201207	TarjetaNuestra	1	2,6	2	26			SI	Almacen	FEMENINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO		4,305555556	28	35	42	0
3	201310	TarjetaColombia	2	6	3,94251	39	PROPIA		NO	Almacen	MASCULINO	NO INFORMA	FAMILIAR	NO INFORMA	EMPLEADO	0	0	0	49	56	0
4	201207	TarjetaNuestra	1	4,7	4,058544	31			NO	Almacen	FEMENINO	VIUDO	ALQUILADA	ESPECIALIZACION	EMPLEADO		7,622222222	0	36	43	0
5	201310	TarjetaNuestra	1	6,818	3,593	37	ARRENDADA	1	NO	Almacen	FEMENINO	NO INFORMA		NO INFORMA	EMPLEADO	0	0	19	33	40	0
6	201207	TarjetaNuestra	1	17,5	10,41688	53			NO	Almacen	FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	JUBILADO	12,25	8,255555556	12	38	45	0
7	201310	TarjetaNuestra	2	9	7,664	34	FAMILIAR	0	NO	Almacen	FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	EMPLEADO	7,538888889	0	42	49	56	0
8	201207	TarjetaNuestra	1	5,3	3,627	27			NO	Almacen	FEMENINO	NO INFORMA		UNIVERSITARIO	EMPLEADO	1,738888889	1,841666667	0	54	61	1
9	201207	TarjetaNuestra	1	3,5	1,625737	48			NO	Almacen	FEMENINO	CASADO		NO INFORMA	EMPLEADO		0		34	41	0
10	201207	TarjetaNuestra	2	10	1,140881	38			NO	Almacen	FEMENINO	UNION LIBRE	PROPIA	ESPECIALIZACION	EMPLEADO	1,886111111	18,58333333	0	58	65	1
11	201207	TarjetaNuestra	1	10	8,282	32			SI	Almacen	MASCULINO	CASADO	ALQUILADA	UNIVERSITARIO	EMPLEADO	8,75	9,575	0	54	61	1
12	201207	TarjetaNuestra	1	12	5,7	60			NO	Almacen	FEMENINO	SOLTERO	ALQUILADA	UNIVERSITARIO	COMERCIANTE	0	24	21	46		0
13	201310	TarjetaNuestra	1	15,55	3,85	55	PROPIA	1	SI	Preaprobado	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO		9,583333333	0	35	42	0
14	201207	TarjetaNuestra	1	1,84	4,473	55			SI	Almacen	MASCULINO	CASADO	NO INFORMA	UNIVERSITARIO	EMPLEADO	14,41666667	0	0	37	44	0
15	201207	TarjetaNuestra	1	2,765	1,848423	50			SI	Preaprobado	FEMENINO	SOLTERO	PROPIA	TECNOLOGO	EMPLEADO	18,66111111	0	5	57	64	0
16	201310	TarjetaNuestra	2	4,06	0,6895	30	FAMILIAR	1	SI	Preaprobado	FEMENINO	UNION LIBRE		UNIVERSITARIO	EMPLEADO	0	0,586111111	0	60	67	1
17	201310	TarjetaNuestra	2	13,07233	2,974	33	ARRENDADA	0	NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	INDEPENDIENTE	8,652777778	14,56388889		59	66	1
18	201310	TarjetaColombia	1	5,74	5,7836	32	FAMILIAR		SI	Preaprobado	FEMENINO	NO INFORMA		NO INFORMA	EMPLEADO	0	0	0	46	53	0
19	201310	TarjetaNuestra	2	20,02	9,182	30	FAMILIAR	0	NO	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	8,422222222	10,30555556	3	45	52	0
20	201310	TarjetaColombia	1	5,075	4,08374	36	ARRENDADA		SI	Preaprobado	FEMENINO	NO INFORMA	FAMILIAR	TECNOLOGO	EMPLEADO	0	0,877777778	2	33	40	0
21	201310	TarjetaNuestra	1	1,685	0,75	42	FAMILIAR	0	NO	Almacen	FEMENINO	SOLTERO	ALQUILADA	TECNOLOGO	EMPLEADO	1,966666667	10,66111111	0	42	18	0
22	201310	TarjetaNuestra	2	22,44	3,5	32	FAMILIAR	0	NO	Preaprobado	FEMENINO	NO INFORMA	FAMILIAR	UNIVERSITARIO	EMPLEADO	7,722222222	0		31	40	0
23	201310	TarjetaNuestra	2	3,7	7	24	FAMILIAR	0	NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	0,469444444	3,194444444	0	38	45	0
